Comment,Description,Designator,Footprint,LibRef,Quantity

"Cap Non-Pol SMD","Capacitor","C1, C2","CAP-SM-0805","Cap Non-Pol SMD","2"
"100uF","WCAP-ATG8 Aluminum Electrolytic Capacitor, Radial THT, D6.3xH11mm, 100uF, 25V","C3","WCAP-ATG8_D6.3H11","860010473007","1"
"1000uF","WCAP-ATG8 Aluminum Electrolytic Capacitor, Radial THT, D10xH16mm, 1000uF, 16V","C4","WCAP-ATG8_D10H16","860010375017","1"
"D Schottky","Schottky Diode","D1, D2","SS34","D Schottky","2"
"LED SMD","LED","D3","LED_0603_Blue","LED SMD","1"
"Fuse","Fuse","F1","FUSE SMD","Fuse","1"
"Hole","Hole 3mm","H1, H2, H3, H4","LO KHOAN 3MM","Hole","4"
"Jack DC","Jack DC input","JDC1","DC-IN","Jack DC","1"
"Inductor","Inductor","L1","INDUCTOR 12.5x12.5","Inductor","1"
"61900811121","WR-WTB THT Male Vertical Locking Header, pitch 2.54mm, 8p","P1, P2, P3, P4, P5, P6, P7, P8, P9","61900811121","61900811121","9"
"61900211121","WR-WTB THT Male Vertical Locking Header, pitch 2.54mm, 2p","P10","61900211121","61900211121","1"
"Header 4","Header, 4-Pin","P11","JP4","Header 4","1"
"MMSS8050-H-TP","Bipolar _BJT_ Transistor NPN 25V 1.5A 100MHz 625mW Surface Mount SOT-23","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8","TRANS_MMSS8050-H-TP","MMSS8050-H-TP","8"
"RESISTOR SMD","Resistor","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79","RES-SM-0603","RESISTOR SMD","79"
"SW-PB","Switch","S1","SPST-2","SW-PB","1"
"418117170905","WS-DITV Compact THT Dip Switch, Flat Actuator, pitch 2.54mm, 5p","S2","418117170905","418117170905","1"
"74HC595","","U1, U2, U3, U4, U5, U6, U7, U8, U9","74HC595D","74HC595D","9"
"Bluepill","","U10","BLUEPILL","BLUEPILL","1"
"ESP8266-12E/ESP-12E","ESP-12E WiFi Module","U11","XCVR_ESP8266-12E/ESP-12E","ESP8266-12E/ESP-12E","1"
"LM2576-5.0WU","Buck Switching Regulator IC Positive Fixed 5V 1 Output 3A TO-263-6, D²Pak _5 Leads + Tab_, TO-263BA","U12","DPAK6P170_1524X459L254X81N","LM2576-5.0WU","1"
