Altium Designer Pick and Place Locations
C:\Data\Projects\LEDCUBE-8x8x8-STM32F103C8T6\PCB + schematic\Project Outputs for LED_CUBE_1.1\Pick Place\Pick Place for ledcube8x8x8.csv

========================================================================================================================
File Design Information:

Date:       17/08/22
Time:       17:05
Revision:   0c8ff58aba65c14eecd5ceff34852cf0ed539847
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R79","RESISTOR SMD","TopLayer","RES-SM-0603","88.3016","49.5554","0","Resistor"
"D3","LED SMD","TopLayer","LED_0603_Blue","91.6940","49.5554","0","LED"
"S2","418117170905","TopLayer","418117170905","16.0020","55.8800","0","WS-DITV Compact THT Dip Switch, Flat Actuator, pitch 2.54mm, 5p"
"F1","Fuse","TopLayer","FUSE_SMD","82.2198","37.1856","180","Fuse"
"JDC1","Jack DC","TopLayer","DC-IN","88.5190","44.2230","180","Jack DC input"
"R64","RESISTOR SMD","BottomLayer","RES-SM-0603","90.6384","71.5010","180","Resistor"
"R61","RESISTOR SMD","BottomLayer","RES-SM-0603","90.6384","69.1606","180","Resistor"
"R58","RESISTOR SMD","BottomLayer","RES-SM-0603","90.6384","66.8202","180","Resistor"
"R55","RESISTOR SMD","BottomLayer","RES-SM-0603","90.6384","64.4797","180","Resistor"
"R52","RESISTOR SMD","BottomLayer","RES-SM-0603","90.6384","62.1393","180","Resistor"
"R49","RESISTOR SMD","BottomLayer","RES-SM-0603","90.6384","59.7989","180","Resistor"
"R46","RESISTOR SMD","BottomLayer","RES-SM-0603","90.6384","57.4584","180","Resistor"
"R43","RESISTOR SMD","BottomLayer","RES-SM-0603","90.6384","55.1180","180","Resistor"
"U10","Bluepill","TopLayer","BLUEPILL","47.2440","73.5330","90",""
"U12","LM2576-5.0WU","TopLayer","DPAK6P170_1524X459L254X81N","73.6600","46.8030","180","Buck Switching Regulator IC Positive Fixed 5V 1 Output 3A TO-263-6, D²Pak _5 Leads + Tab_, TO-263BA"
"U11","ESP8266-12E/ESP-12E","TopLayer","XCVR_ESP8266-12E/ESP-12E","22.5940","41.9100","90","ESP-12E WiFi Module"
"S1","SW-PB","TopLayer","SPST-2","33.4010","37.7302","90","Switch"
"R78","RESISTOR SMD","BottomLayer","RES-SM-0603","16.0020","54.5338","90","Resistor"
"R77","RESISTOR SMD","BottomLayer","RES-SM-0603","18.5420","54.5338","90","Resistor"
"R76","RESISTOR SMD","BottomLayer","RES-SM-0603","21.0820","54.5338","90","Resistor"
"P11","Header 4","TopLayer","JP4","25.0190","56.5404","270","Header, 4-Pin"
"C4","1000uF","TopLayer","WCAP-ATG8_D10H16","62.2300","40.5384","90","WCAP-ATG8 Aluminum Electrolytic Capacitor, Radial THT, D10xH16mm, 1000uF, 16V"
"C3","100uF","TopLayer","WCAP-ATG8_D6.3H11","82.6516","51.5166","270","WCAP-ATG8 Aluminum Electrolytic Capacitor, Radial THT, D6.3xH11mm, 100uF, 25V"
"D1","D Schottky","TopLayer","SS34","81.3816","43.0784","90","Schottky Diode"
"P9","61900811121","TopLayer","61900811121","45.7200","36.6268","180","WR-WTB THT Male Vertical Locking Header, pitch 2.54mm, 8p"
"P8","61900811121","TopLayer","61900811121","93.4720","63.7540","90","WR-WTB THT Male Vertical Locking Header, pitch 2.54mm, 8p"
"P7","61900811121","TopLayer","61900811121","59.2243","96.0120","180","WR-WTB THT Male Vertical Locking Header, pitch 2.54mm, 8p"
"P6","61900811121","TopLayer","61900811121","3.9500","84.4550","270","WR-WTB THT Male Vertical Locking Header, pitch 2.54mm, 8p"
"P5","61900811121","TopLayer","61900811121","93.4720","84.5820","90","WR-WTB THT Male Vertical Locking Header, pitch 2.54mm, 8p"
"P4","61900811121","TopLayer","61900811121","38.3117","96.0120","180","WR-WTB THT Male Vertical Locking Header, pitch 2.54mm, 8p"
"P3","61900811121","TopLayer","61900811121","3.9500","63.3730","270","WR-WTB THT Male Vertical Locking Header, pitch 2.54mm, 8p"
